Den;Datum;Tyd;Akt;Slot 1 (hlavni);Typ S1;Vrstva S1;Slot 2 (vedlejsi);Typ S2;Vrstva S2;Dopis/Udalost;Ranni fragment;Vecerni volba;Noviny;Poznamky;Modif_dne;Vecer_doplnek;Patrani_navrh
1;2.3.;Po;1;Pripad slepice Bozeny;Rut;Tyc;Kradez chleba (Horak);Rut;Tyc;Vlckuv uvitaci dopis;Mlha. Fronta u pekarny.;Psat Martinovi / Spisy;OBR: Krize pokracuje;Uvod. Haas zminen (informator).;;;std
2;3.3.;Ut;1;Var: pripad dluhu;Rut;Var;Pool: drobna kradez;Rut;Pool;Martinuv dopis (studium);Pekar zvysil ceny.;Prochazka / Hospoda;TEXT: Nezam 15%;Ekonomicky tlak +3 Kc vydaje.;ekonomicky_tlak_navaz_Balancing;;std
3;4.3.;St;1;Pospisil 1 (hospoda);Rut;Tyc;Markova 1 (svedkyne);Rut;Tyc;--;Svejda: Dnes je klid.;Kava s Karasem;TEXT: Vlada slibila pomoc;Karas se vyptava. Podpis (hacek).;;;std
4;5.3.;Ct;1;Bozena 2;Rut;Tyc;Hranice 1 (34 cm);Rut;Tyc;--;Deti hraji fotbal.;Spisy / Prochazka;TEXT: Exekuce rolniku;Bozena: nove dukazy. Hranice: 34 cm.;;;std
5;6.3.;Pa;1;Var: moralni dilema;Mor;Var;Pool: vytrznost;Rut;Pool;--;Sobotni trh. Mene stanku.;--;TEXT: Fronta u uradu;Prvni moralni. Haas v zaznamech (D5).;prvni_Mor_navaz_D6;;std
SO;7.3.;So;--;-- SOBOTA --;;;;;;Sobotni shrnuti + bonusy;;;;Pet dni. Deset spisu...;;;
NE;8.3.;Ne;--;-- NEDELE --;;;;;;Nedelni volba;;;;;;;
6;9.3.;Po;2;Var: moralni dilema;Mor;Var;Pool: podvod z nouze;Mor;Pool;DOPIS OD DOKTORA (400 Kc deadline D16);Plakat: POCHOD HLADU;Psat Martinovi;OBR: Deprese sili;Countdown. 10 dni na 400 Kc.;countdown_navaz_D16;vecer_tezsi_kontext_countdown;std
7;10.3.;Ut;2;Politicky (Horackova svedkyne);Pol;Tyc;Pospisil 2;Rut;Tyc;--;Svejda: Ceka tu nekdo.;Hospoda (Karas?);TEXT: Nemecke spolky;Horackova: klient financuje obe. Karasovo pero.;Pol_tlak_navaz_D8;;std
8;11.3.;St;2;Bozena 3 (korupce);Rut>Mor;Tyc;Var: politicky pripad;Pol;Var;Martinuv dopis + Vlckovo ocekavani;Policejni auto.;Psat Martinovi;TEXT: Pochod hladu;VETVENI 1: Vlcek naznaci verdikt.;VETVENI1_ram_vecer;Martin+Vlcek_navaz_vecer;std
